Character name,Character Image,Basic Information,Profile and Backstory,What happens to the character
Seth,Data/Images/character_images/Seth icon.jpeg,"Age: Unknown, Status: Alive, Occupation: Saloon Manager, Role: Supporting, Voice Actor: Robert Clotworthy","Seth is a resident of Jackson who runs a saloon in town. He is seen early in the game apologizing to Ellie for something and giving her a gift. Later on in the game, you see why he apologizes in a flash back.
During the night that Dina and Ellie kissed, Seth confronted them about their kiss in font of children and calls Ellie a “loudmouth dyke”. This prompts Joel to intervene, which angers Ellie.","We never find out, what happens to Seth."
Mel,Data/Images/character_images/Mel icon.jpeg,"Age: Unknown, Status: Deceased, Occupation: Medic, Role: Supporting Character, Voice Actor: Ashly Burch","Mel is a medic for the WLF. She was tought everything about treating injuries from Abby's father, Jerry.
She has a romantic relationship with Owen, and is pregnant with Owen's baby, causing some tention between Mel and Abby.","Mel, along with Owen, is killed by Ellie, after confronted in Seattle Day 3. Ellie is originally looking for Abby, but Owen intervenes, causing Abby to shoot him, and when Mel steps in, Abby stabs her in the neck."
Owen,Data/Images/character_images/Owen icon.jpeg,"Age: Mid 20s, Status: Deceased, Occupation: WLF Combatant, Role: Supporting Character, Voice Actor: Patrick Fugit","Owen is one of the most important characters for Abby's story. He has a romantic relationship with both Abby and Mel, causing a lot of drama between the three of them. He goes AWOL from the WLF and seeks to leave Seattle.","Owen, along with Mel, is killed by Ellie, after confronted in Seattle Day 3. Ellie is originally looking for Abby, but Owen intervenes, causing Abby to shoot him, and when Mel steps in, Abby stabs her in the neck."
Manny,Data/Images/character_images/Manny icon.jpeg,"Name: Manny Alvarez
Age: Unkown
Occupation: WLF Combatant
Role: Supporting Character
Voice Actor: Alejandro Edda","Manny is another of Abby's Friends. He is ethnically hispanic, and is often is heard speaking Spanish. He has family living within the WLF that he cares for.
Manny accompanied others of Abby's friends to Jackson as well.","When playing as Abby, there is a section where you are trying to catch up to a sniper (Tommy). Upon cornering him and them trying to sneak up on him to take him by surprise, Manny is shot by Tommy, dying instantly."
Jordan,Data/Images/character_images/Jordan icon.jpeg,"Age: Unknown
Occupation: WLF Combatant
Role: Supporting Character
Voice Actor: Chase Austin","Little is known about Jordan life. He was a former firefly and is part of the Salt Lake Crew with Abby and his friends. He is also romantically involved with Leah, who is also part of the Salt Lake Crew.
After the fireflies disbanded, he went together with his friends to join the WLF in Seattle.","Jordan along with her friends included in the Salt Lake Crew travel to Jackson to help Abby take revenge on Joel for attacking the Fireflies. After this event, Jordan got assigned to the Serevena Hotel to evacuate the WLF at Hotel and the School and get all the remaining supplies.
When he arrived at the Serevena Hotel, found Nick's dead body and was next seen interrogating Ellie at the Eastbrook Elementary School. In the middle of his interrogation, Mike interrupts him and he learns that Isaac told Mike to execute all trespassers.
Jordan tries to stop Mike since he wants to learn if there were more people from the Jackson Community that are going to attack the WLF. Mike shoves him and tries to shoot Ellie, but Dina kills Mike from the glass roof and Jordan was able to shoot the glass to make Dina fall from the roof.
After that, he tries to kill Dina by choking her, but Ellie manages to escape from her binds and stab Jordan in the neck killing him in the process."
Nick,Data/Images/character_images/Nick icon.jpeg,"Age: Unknown
Occupation: WLF Combatant
Role: Supporting Character
Voice Actor: None","Nick was present with Abby and her friends in their journey to Jackson. He helps hold down both Tommy and Ellie in the beginning of the game, but never spoke.","We never find out, what happens to Nick."
Alice,Data/Images/character_images/Alice icon.jpeg,"Age: Unknown, Status: Deceased, Occupation: WLF Attack Dog, Role: Supporting Character, Voice Actor: Unknown","Little is known about Alice's background. Alice was one of the K9 units issued in the WLF and is mostly called upon by the members of the Salt Lake Crew, especially by Abby, Mel, and Manny.","Alice was taken out for a mission when Abby, Manny, and Mel went out to patrol. During the patrol, Alice was able to save Abby from a Clicker that tried to attack her when she was trapped under the broken shelves inside the warehouse.
Later in the game, Alice was brought to the Aquarium by Mel when she went AWOL and is helping them guard the Aquarium. When Abby left the Aquarium to go to the Hospital, she was killed by Ellie when Alice found Ellie breaking in the Aquarium through the vents."
Maria,Data/Images/character_images/Maria icon.jpeg,"Age: Unknown
Occupation: Jackson Leader
Role: Supporting Character
Voice Actor: Ashley Scott","First appearing in TLoU1, in Part II, Maria is only ever seen in the beginning of the game in Jackson, and she is introduced as a leader of the Jackson community, and as Tommy's wife. She is referenced to again towards the end of the game.","We never find out, what happens to Maria."
Jerry,Data/Images/character_images/Jerry icon.jpeg,"Age: Unknown
Occupation: Doctor
Role: Supporting Character
Voice Actor: Derek Phillips","Jerry was the surgeon that was originally going to kill Ellie to develop a cure to the disease that has caused the world's population to drop by 60%. However, anyone who played TLoU1 will know that this ends with Joel killing all of the Fireflies and surgeons, including Jerry.
A big plot device to the game is Jerry's death, which caused Abby to seek revenge by killing Joel. Jerry is seen in a flash back saving a zebra from a barbed wire fence, and although willing to kill Ellie to make a cure, he seems a bit uneasy with the idea, making Jerry look like a much kinder individual.",Died at the end of The Last Of Us Part 1.
Whitney,Data/Images/character_images/Whitney icon.jpeg,"Age: Unknown
Occupation: WLF Combatant
Role: Supporting Character
Voice Actor: Maggie Macdonald","Also known as thePortable Gamer Girl, Whitney was first seen in a demo of the game that was shown pre-release. Whitney doesn't play any significant role in the story, but is used to bridge the connection between Ellie and Abby. She is almost always playing her PS Vita and it is theorized that she has the last PS Vita play remaining.","We never find out, what happens to Whitney."
Isaac,Data/Images/character_images/Isaac icon.jpeg,"Age: Unknown, Status: Deceased, Occupation: WLF Leader, Role: Supporting Character, Voice Actor: Jeffrey Wright","Isaac is a leader of the WLF, and the one responsible for the attack on the Seraphite island. He appears in only 2 parts of the game, but his role in the story is still very important. He appears to be a brutal leader, as he is first seen torturing a Seraphite, and later seen willing to shoot a Seraphite that was a child.","(Spoilers)
During the last part ofSeattle Day 3as Abby, Isaac finds Abby alongside Lev. Isaac tells Abby to move out of the way of Lev so that he can shoot him. Abby refuses, pleading him to let Lev go since he is just a kid. Right before Isaac can pull the trigger to shoot them, he is shot in the back, presumably dying instantly."
