Chapter Name,Sub-chapter Name,Sub-chapter URL,Walkthrough Text
Chapter 2: Seattle Day 1,Seattle Day 1 - Capitol Hill Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290713,"Check inside the houses for supplies. you will find a short weapon holster, and go upstairs through the apartments and cross over into the next area.
moving forward, you will encounter more wlf members patrolling the streets., and after getting past the patrol, go to the gasoline station, and you will see aworkbenchinside.
continue heading down the street and go to the right side of the area, where you will encounter wlf and infected in the area., and go inside the building with the second floor on it and head upstairs to get over to the next area.
give dina a boost to get over the wall., and move forward to reach the radio station.
use the traps to bait the incoming infected that are swarming the area., and enter the open gate and go down the river.
follow the river and you will encounter tommy's dead horse., and after the cutscene, continue moving forward to the forest.
jump over the barricade then move forward. squeeze through some tight spaces to avoid triggering the trip wire., and get inside the building that has a wellwishes sign on it, and you will encounter a safe.
go prone to cross over the third truck that you will encounter., and use bricks to trigger the tripwire, since there is no way around it anymore.
go upstairs at the end of the street and trigger some of the tripwire again., and move past the locked door and go over the broken metal wall.
move around the locked door and go over the broken metal wall."
Chapter 2: Seattle Day 1,Seattle Day 1 - Channel 13 Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290714,"Jump over the truck to avoid the tripwire, then open the truck with the ""feel her love"" sign to cross through, and climb up the radio station and you will see dead wlf bodies.
use the rope to get inside the radio station., and continue moving forward and dina will point at the air duct to cross through.
after crossing through, you will see more dead bodies hanging from the ceiling. go upstairs and go through the narrow path to cross the other side of the building., and open the door with a dead body blocking it. you can also pick up the shotgun from a dead body.
go upstairs, and at the right side of the area, you will find a open door., and exit the radio station. before exiting the building, wlf members will come and clear the area.
head downstairs and go to the left side of the building with the open windows on it., and keep running while the wlf members are still pursuing you.
head to the level 1 of the parking and enter the door beside the gate."
Chapter 2: Seattle Day 1,Seattle Day 1 - The Tunnels Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290715,"Continue heading down and you will encounter a spore-infected area, and go prone to cross through the tight space and open the gate.
head downstairs and squeeze through the tight space., and at the subway station, pit the clickers against the wlf to cause a distraction.
amidst the chaos, grab the chance to get past them, and get inside the train at the other end of the area., and move forward and force open the train door with the help of dina.
the path will be blocked. go to the left side of the door and squeeze through to go outside the train., and go prone and get underneath the train to cross.
enter the room with a red light on it., and climb the ladder and use the rope to create a swing for you to cross the gap.
after crossing the gap, enter the blue door and cross through the vent., and while crossing through the vents, you will see wlf members battling a new type of infected.
getting down from the vents. this area will contain 2 shamblers and 2 runners., and head to the source of the red light and you will see a garage door then open it.
continue moving forward, and you will encounter a locked door. go around it and jump at the yellow barrier., and entering the area, you will encounter 2 shamblers and 2 runners.
get inside the electrical area, then through the red doors with an exit sign., and exiting through the doors, get inside of the train via an open door, and continue heading outside.
after the cutscene, run as fast you can to escape the horde of infected., and head to the theater."
Chapter 2: Seattle Day 1,Seattle Day 1 - The Theater Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290716,"Look around the theater and find the generator, then turn it on, and check out the radio to see if it works, then get the key from the table.
use the key to open the doors on the ground floor., and move towards the theater and onto the backstage, where a cutscene will trigger.
play the guitar."
Chapter 2: Seattle Day 1,Seattle Day 1 - The Birthday Gift Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290717,"Follow joel, and continue moving forward until you see the dinosaur, then keep following joel.
explore the museum., and after the cutscene, continue exploring then take a dive to reach the other bulding.
give ellie a boost to enter the other building., and continue moving forward, and ellie will notice the writing on the wall.
squeeze through the tight space near the dead body., and after getting through, a cutscene will trigger."
Chapter 3: Seattle Day 2,Seattle Day 2 - Hillcrest Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290712,"Look for dina in the project room, and head towards the gunshot to look for tommy.
get up on the truck and proceed to the next area., and go inside the coffee shop, then cross over the fence.
climb up the ladder, then go down the broken roof., and after going down, you will encounter the wlf guard dogs for the first time.
move forward through the streets and through the shops, evading the guard dogs by moving around and causing distractions., and reach the double red doors at the other end of the street, then get inside.
go up the stairs and open the gate. use the garbage can as a boost., and use the garbage can to climb over the wall and get inside the other building.
exit the building through the bike shop and onto the other street., and head inside the liquor store and you will pick up a training manual.
get inside the pet boutique then cross through the bar and exit to the kitchens., and go upstairs and you will hear a loud explosion.
move towards the black smoke., and jump over the wooden fence.
get inside the house and head towards the kitchen, then squeeze through the broken door., and you will encounter a stalker after going through the door.
exit through the garage door., and you can practice your bow with the mannequins. after practincing your bow, jump over the wooden fence.
move through the garden of the houses, and continue moving downwards toward the black smoke., and after the cutscene, get the keys from the wlf members and get inside the car.
a quick-time scene with the car is going to happen."
Chapter 3: Seattle Day 2,Seattle Day 2 - Finding Strings Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290738,"Follow tommy, and shoot the runners with tommy's rifle.
follow tommy to the ski lodge., and follow joel to the horses
follow joel on horseback, and follow joel and climb into the van.
head back to the front door of the lodge., and joel will lift up a collapsed roof for you to crawl through.
from the inside, go around to the front door to let joel in., and follow joel and allow him to move the vending machine.
follow joel through the building., and fight several runners with joel.
another group of runners and some clickers will attack, and after squeezing through a gap, fight a bloater with joel
follow joel to the next room to end this section."
Chapter 3: Seattle Day 2,Seattle Day 2 - The Serpahites Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290742,"Follow route 5 to track nora, and go through the metal door, then go above the wall.
cross through the quickmart, then head onto the street., and continue moving towards route 5.
go to the left side of the street, where a gate will be blocking it. use the red garbage can to jump over., and get inside the garage and take the other garbage can outside.
jump over the garbage can and head upstairs., and upon seeing the st. mary's hospital, continue moving forward and break one of the window to get inside the building.
get down using the scaffholding., and proceed to enter the door with thesuite 13031sign on it.
you will encounter stalkers in this area. proceed down the hallway, then jump over the barricaded doors., and head to the other end of the area and smash the windows to get out.
at the edge of the building, head upstairs and jump through to cross to the other side., and enter the broken window after jumping down.you will encounter clickers and stalkers in this area.
go to the other end of the area and exit through the yellow door., and swim through the sewers and climb up the ladder.
move upstairs and exit through the gate of the station., and cut through the park to reach the hospital.
while cutting through the park, you will encounter theseraphitesin this area., and after cutting through the park, head inside the building with the fire in front of it.
go upstairs and enter the master bedroom, then exit through the door., and use the alleyway to continue moving towards the hospital.
you will encounter more seraphites on this area. go prone and use tall grass to sneak past through., and get inside the abandoned carpark building then, head upstairs to cross through.
move forward, then jump through the gap and enter the mall., and get inside the cosmetics shop, then enter the red door. there will be a large man guarding the door.
squeeze through the double doors, then head upstairs to get through the roof., and continue moving through the roof, then go down the ladder.
swim through the flooded area to get to the hospital., and when you are near the hospital, dive undearneath, then squeeze through the tight space.
approach the wlf member sitting in the area., and head upstairs to findnora.
get inside the main entrance of the hospital., and after getting inside, continue moving until you reach the other end of the area, then enter the double doors.
go upstairs, then go through the vents., and exit the vents, then confront nora in the room.
chase after nora., and after the cutscene, pit the clicker against the wlf, then escape through the double doors.
continue moving forward to chase nora."
Chapter 3: Seattle Day 2,Seattle Day 2 - Seattle Day 1 - St. Mary's Hospital Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290751,"Investigate the hospital. check every room for clues, and head towards the operating room.
inside the operating room, search the firefly bag."
Chapter 4: Seattle Day 3,Seattle Day 3 - Seattle Day 3  - Road to the Aquarium Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290752,"Look for dina and jesse, and give jesse a boost to reach the top.
move forward to find the aquarium., and cut through the convention center, then head inside the blue door.
continue forward and you will see another blue double door., and move the pedestal blocking the path, then squeeze through.
this area is going to be filled with wlf members. you can sneak past them or engage in combat., and go inside the seattle conference center, then jump over the blue van.
use prone to cross the broken tree, then jump over the truck., and swim through the flooded area, then dive undearneath to blockade.
head to the right side and have jesse boost you up to enter the bookstore., and go down the bookstore, then up again on the other side of the area to cross the gate.
back on the streets, you will enocunter more wlf members patrolling the area., and dive underneath the flooded area with the bus blocking on it.
move up to the very top of the building to cross., and get down from the building to locate the crew.
remove the giant steel blocking the door., and swim through the flooded area of the building.
use the rope to climb up above., and steal the boat from the wlf."
Chapter 4: Seattle Day 3,Seattle Day 3 - The Flooded City Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290756,"After stealing the boat, drive it out of the building, and go inside the building and follow the river current.
open the gate to continue riding the current., and you will encounter another safe in this area. the code is 70-12-64
continue riding the current, and you will encounter a fight between the wlf and the seraphites., and drive through the abandoned building.
open the gate of the arcade building., and head to the 2nd floor of the building, then push the trolley to jump over the double doors.
after falling down, you will encounter a bloater., and open the roll-up door at the prize zone, then move upstairs.
remove the huge steel blocking the chain doors., and go down to the gate again and open it. continue riding the river until your reach the ferris wheel.
swim through the river to reach the land."
Chapter 4: Seattle Day 3,Seattle Day 3 - Chapter 4: Infiltration Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290763,"Go to the broken fenced gate on the left side of the area. go prone to enter the gate, and climb over the machine, then enter through the broken window.
move forward to the other end of the area, then squeeze through the broken wall., and continue your way inside the building, then climb up the ladder.
drop down, then go inside the animal quarantine room., and inside the animal quarantine room, climb up the machine and into the vents.
after falling from the vents, you will be attacked by a dog., and head to the open room.
go to the open door at the right side and move towards the double door with a ""crab"" drawing on it., and defend yourself from mel.
find tommy and jesse."
Chapter 5: The Park,The Park - Chapter 5: Tracking Lesson Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290764,"Move through the forest to find dad, and crouch to enter the bathroom
use bottle to break the window, then climb through it., and you will see a garbage can. move it over to the wall to climb up.
jump over the roof to get inside the park., and follow jerry
go near the flesh that is lying on the ground for clues, and jerry will take point on hunting the animal. follow him.
go to the operating room."
Chapter 6: Seattle Day 1,Seattle Day 1 - The Stadium Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290765,"Follow manny, and get some food in the cafeteria.
after getting the food, head to your room and pick up your items., and proceed to following mel and manny to get alice.
go to the weapons room to acquire guns., and get on the truck to go outside.
defend yourself from the seraphites' ambush."
Chapter 6: Seattle Day 1,Seattle Day 1 - On Foot Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290766,"Explore the building to clear it, and clear the area consisting of 3 runners.
head to the end of the area, then climb over the pile of wood., and after falling from the top, fight off the infected swarming the area.
go to the door being blocked by a pedestal, and force it open it with the help of manny., and climb over the truck to proceed the next area.
move towards the boat repair building, then give manny a boost to climb up., and after manny loosens up the rope, climb on it.
use the rope again, then bring it down to the broken roof to climb down., and remove the object blocking the door to let mel inside.
inside the boat repair room, open the large gate., and when the crank breaks, find another way out.
give mel a boost to open the locked door., and use the ladder to cross through the boat.
grab the ladder again, then place it on the other side of the boat., and throw the rope over the catwalk.
cross through the ladder and use the rope to climb up the catwalk., and go up the ladder to exit through the roof, then head to another ladder to go down.
cut through the railyard to reach the fob., and while cutting through the railyard, you will encounter more seraphites.
after reaching a dead end, go up on the train, then enter the wooden fence., and force open the huge gate, then squeeze through it.
defend yourself from the seraphites until backup arrives., and get on the truck."
Chapter 6: Seattle Day 1,Seattle Day 1 - The Forward Base Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290777,"Check inside the base, and look around to search for isaac.
head to the hospital tent to check for mel., and follow nora.
get inside the building., and talk to the man sitting in front of the elevator."
Chapter 6: Seattle Day 1,Seattle Day 1 - The Aquarium Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290779,"Jump into the waters, and follow owen.
head upstairs, then open the door with the help of owen., and keep following owen to the yacht.
go through the double doors and have owen boost you up., and continue exploring the fish zoo.
move upstairs, then enter the singularity bay cafe., and get down and proceed to the locked door with themax's placesign on it.
climb down the stairs from the open elevator door."
Chapter 6: Seattle Day 1,Seattle Day 1 - Hostile Territory Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290782,"Follow owen down from the roof, and have owen boost you up the wall.
continue moving through the alleyway, then get inside the open door., and go over the box to exit through the streets.
squeeze through the tight space and you will stumble upon a clicker., and jump over the gap to reach the other end of the wall.
go prone to cross through the wall. after you drop, head inside the open window., and move forward to the next area by squeezing through the tight space. you will encounter 3 runners and a clicker in this area.
head to the far end of the area, then exit through the narrow doors., and climb up the wall.
go the left side of the street, then continue moving forward until you hit the streets again., and approach marty's gate, head to the right side, then climb over the blue garbage can.
jump over the roof, then go down near the chinese gate., and crouch, then enter through the small gap at the gate to proceed to the next area.
go inside the abandoned building and reach the top floor., and slide down the terrain, then go prone to cross the debris.
continue moving forward and you will stumble upon a seraphites camp., and exit the camp, then slide down again on the terrain.
use crouch to pass through the low beam roofs, then go down to proceed to the next area., and after getting down, the area you reach is going to be filled with more seraphites members.
cross over the other building, then exit through the huge hole., and there will be another terrain to slide at. go with it, then you will trigger a cutscene."
Chapter 6: Seattle Day 1,Seattle Day 1 - Winter Visit Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290794,"Approach owen from his office, and look around the area and check out some of his stuff.
play with the toy bow., and follow owen upstairs."
Chapter 6: Seattle Day 1,Seattle Day 1 - The Forest Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290795,"Fight off the stalkers, and follow yara out of the woods.
open the fenced wall., and defeat the big woman.
open the garage door., and look around the area for supplies.
after collecting supplies, go to yara and lev., and exit through the huge hole of the building.
use the stairs, then head to the coast., and get inside the abandoned house, then go down below.
give yara and lev a boost over the locked door., and defend yourself against the infected while waiting for the siblings find another way.
lev will take point while you are carrying yara., and climb over the blue container to cross over the fence.
go inside the building."
Chapter 6: Seattle Day 1,Seattle Day 1 - The Coast Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290796,"Move forward by using the crate as a boost to climb up, then exit through the open window, and after dropping from the window, the area you reach will be filled with a group of infected composed of runners, stalkers, and clickers.
head towards the bridge, then climb up using the broken debris., and run straight through the bridge.
after falling from the gap, move up to the truck, then squeeze through the tight space., and swim through water to reach the other side of the land.
go inside the hole from the boat., and move inside the boat and reach other end of the area, then exit through the door.
head upstairs to get inside. this area will be filled with a group of infected consisting of runners, clickers, and shambler., and continue moving inside the boat while eliminating the infected.
go to uppermost part of the boat, then move to other end, and force the door open., and climb up the ladder to exit, then go back to the streets again.
move forward to the streets, then climb up the ladder to continue moving straight toward the ferris wheel., and try to get inside the aquarium.
when you are unable to do so, move around the back., and jump over the fence, then over the broken window of the building.
inside the room, break the glass on the ceiling, then throw the rope outside., and climb up the roof, then break the glass on the other side.
drop down from the roof, then continue moving towards the door with a crab drawing on it., and head towards the shark entrance.
go to the yacht., and head towards the operating room."
Chapter 6: Seattle Day 1,Seattle Day 1 - Return to the Coast Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290800,"Go back to yara and lev, and use the plank to cross the gap.
continue moving towards the building., and force open the roll-up doors.
return to the trailer where you left the siblings."
Chapter 7: Seattle Day 2,Seattle Day 2 - The Shortcut Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290801,"Follow lev, and go through the very tall building.
jump around the place to keep out of rushing waters., and get inside the open building, then head upstairs.
break the windows, then head upstairs using the fire escape stairs., and climb up the ladder, then drop down from the roof and onto the bridge.
move to the end of the bridge, then get inside the terrace from the right side., and exit the room, then head upstairs and open the door to proceed.
continue moving upstairs to the roof, then cross through to the other building., and after crossing the building, the area you arrive in will be filled with several infected.
climb on the rv to exit., and jump over the broken road, then move inside to another building.
after checking out the building, exit through the broken window, then jump around the broken road again to cross., and head upstairs, then move to the open area. jump around the broken floor to reach the ladder.
inside the tallest building, follow lev., and after climbing the high ladder, seraphites will ambush you.
climb another ladder again, until you reach the highest point., and at the roof, this area will be guarded by more seraphites.
go to the highest part of the roof, then move towards the double door., and follow lev to the elevator, then pull the door down.
get off the elevator, then continue following lev."
Chapter 7: Seattle Day 2,Seattle Day 2 - The Descent Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290803,"Exit through the doors, and cut through the gym, then go through the far end of the door.
go down the building, then open the door at the 19th floor., and inside the spore-infested area, find a gas mask for lev.
after getting the gas mask, stalkers will appear in the area., and get back to lev to give him the gas mask.
give lev a boost to reach the firehose., and climb down the rope.
continue going down., and jump through the gap, then continue going down the building.
force open the locked door, then proceed to the next area., and in this area there will be several clickers and runners. there is also a single bloater nesting in this area.
head towards the other end, then force open the elevator., and go down the elevators and enter another floor.
exit the building, then head through the open area., and continue moving forward to the hospital."
Chapter 7: Seattle Day 2,Seattle Day 2 - Ground Zero Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290805,"Follow nora, and enter the oncology department.
continue moving forward through the area, then go downstairs., and go towards the icu entrance.
due to the entrance being blocked, go down the other floor., and head inside the yellow door, then continue going in.
look for the door with the surgery icon it, then go inside., and follow the power lines to turn on the generator.
after turning on the generator, use the break panel to turn on the lights., and the locked doors will automatically open, and the infected will come out.
head to the supply room., and exit the surgery room.
head inside the area with the red door., and go to the ambulance to check for medical equipment.
run away from the rat king., and defeat the rat king.
follow the rat king: other half that exits the area., and defeat the rat king: other half.
open the roll up door, then exit the parking."
Chapter 7: Seattle Day 2,Seattle Day 2 - Return to the Aquarium Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290811,"Head to the operating room, and follow yara to look for lev.
play with alice., and keep looking for lev."
Chapter 8: Seattle Day 3,Seattle Day 3 - The Marina Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290816,"Go down the stairs, and cut through the elevator.
continue going down, then go around to the left side., and walk through the waters, then yara will find a sewer entrance.
open the sewer, and continue moving through it., and climb up the ladder.
continue moving forward through the boats., and move around the surroundings to avoid the sniper.
go inside the parking inn., and open the garage doors.
go upstairs and onto the bridge., and jump through the gap, then force open the elevator doors.
chase after the sniper., and follow manny to flank the sniper.
open the white double doors., and exit through the open door."
Chapter 8: Seattle Day 3,Seattle Day 3 - The Island Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290819,"Follow yara on the island, and climb up the ladder.
continue following yara., and move the cart to use as a boost.
climb up to the house., and make your way to the lumber mill.
yara will take point. follow her., and cut through the lodge.
move forward through the village., and try to open the large doors. after failing to do so, yara will point out a secret passage.
get inside the house."
Chapter 8: Seattle Day 3,Seattle Day 3 - The Escape Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290824,"Follow the siblings to the haven, and get inside the building, then go prone onto the streets.
crawl under the truck., and open the fence.
exit through the open window., and after the cutscene, climb over the sandbag, then exit through the open window.
in this area, several wlf members will be looking for you., and go to the far end of the building, then force open the white door.
give lev a boost to reach the ladder., and climb up the ladder, then go through the open window.
exit the building onto the streets again., and head to the restaurant.
mount the horse beside the car., and ride your way to the docks.
move through the crossfire., and get up to the house and open the window.
go down from the house, then escape through the door., and defeat the big man.
head to the waters and find a boat., and move inside the aquarium."
Chapter 8: Seattle Day 3,Seattle Day 3 - The Confrontation Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290829,"Go inside the theater, and give lev a boost to reach the ladder.
chase after ellie., and fight ellie."
Chapter 9: The Farm,The Farm - The Farm Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290833,"Look for dina, and put on a record, using the turntable.
go to the tractor., and after checking on the tractor, go back to dina.
get the sheep inside the barn., and head to the house."
Chapter 10: Santa Barbara,Santa Barbara - 2425 Constance Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290834,"Move towards the street to find the 2425 address, and go to the yellow house, then open the garage door.
search inside the house., and wait for lev to find something.
move the large dresser., and head to the basement, then turn on the power.
use the radio., and exit the house."
Chapter 10: Santa Barbara,Santa Barbara - Pushing Inland Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290836,"Go up onto the hill, and jump over the metal wall.
continue moving through the street, then go over the wall., and use the car to go up the roof and enter through the open window.
go down the house. you will encounter infected in this area., and exit through the broken window.
go prone at the bottom of the wall to exit., and move downhill to reach santa barbara.
squeeze through the trucks."
Chapter 10: Santa Barbara,Santa Barbara - The Resort Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290838,"Move foward to make your way inside the resort, and force open the door of the container.
use the ladder to climb up., and head towards the train, then move under it.
open the fence gate., and release the chained up infected to cause a distraction.
go inside the house, then squeeze your way through the broken door., and jump over the wall to proceed to the next area.
move forward to reach the tall round building., and inside the building, go upstairs, then proceeed to the other area.
head downstairs and open the double wooden doors., and move forward, then open the other door."
Chapter 10: Santa Barbara,Santa Barbara - The Beach Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290843,"Move towards the beach to find abby, and find abby in the pillars.
follow abby., and battle with abby."
Chapter 11: The Farm,The Farm - Epilogue Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290846,"Go to the house, and head upstairs.
play the guitar."
