Weapon Name,Weapon URL,Basic Information,Best Upgrades,How to use,How to get
Flamethrower,https://game8.co/games/Last-of-Us-2/archives/290808,"[{'Weapon': 'Close range weapon that incinerates enemies, dealing lethal damage.'}, {'Weapon': 'Long Gun'}, {'Weapon': '100'}]",[],"The Flamethrower is one of the best weapons you can get in the game. This weapon is best used against the infected, since they are more vulnerable to fire. Using it against humans will also work, but it is not quite as effective. Using the Flamethrower against an infected will not only deal massive damage, but it will also set them on fire, which deals damage over time.
Ammo will be hard to find for the Flamethrower. Try to conserve it as much as possible, and only use this weapon against the tougher infected enemies like theRat KingorBloaters.","Found in Chapter 7: Seattle Day 2 - The Descent
After climbing down the rope, head to the bathroom, where you will see the Flamethrower on the corpse of a FEDRA agent."
Silenced Submachine Gun,https://game8.co/games/Last-of-Us-2/archives/290841,"[{'Weapon': 'A silent automatic sub machine gun that deals medium damage to enemies.'}, {'Weapon': 'Long Gun'}, {'Weapon': '20'}]",[],"The Silenced Submachine Gun is one of the best guns you will obtain in the game, although it is obtained right at the end. Its excellent high ammo capacity and amazing fire rate, paired with a silencer makes it the ideal weapon for stealth kills. It is recommended that you use it in situations where you have to take out multiple enemies while trying to remain hidden. Take note that you can still one-shot enemies if you aim for their vulnerable heads.
Also note that by the time you get the silenced machine gun, some enemies will be wearing helmets to protect their head from headshots. Keep this in mind before shooting to guarantee a quick kill before they can locate your position.","Found in Chapter 10: Santa Barbara - The Resort
Ellie will pick up this gun automatically at the start of this section of the chapter."
Bottle,https://game8.co/games/Last-of-Us-2/archives/290791,"[{'Weapon': 'A throwable object that can be used to break glass or create a distraction. Only one item of this type can be held at a time.'}, {'Weapon': 'Throwable'}, {'Weapon': '1'}]",[],"Bottles are generally used fordistracting or misdirecting infected and human enemies. They can be thrown on the ground to create noise or break glass windows to open up new routes. This can cause enemies to group up on that area where you can easily sneak by them or kill them all at once using the tools you crafted. However, if you are playing more aggressively, you can alsothrow them directly to the enemy's head and stun themfor a few seconds. Stunning them with a bottle will make them vulnerable to your grab and strike attacks.
Keep in mind that they canwork on hidden traps too!You can throw them on the tripwire or the claymore itself to trigger the traps without taking damage.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Brick,https://game8.co/games/Last-of-Us-2/archives/290792,"[{'Weapon': 'A throwable object that can be used to break glass or create a distraction. Only one item of this type can be held at a time.'}, {'Weapon': 'Throwable'}, {'Weapon': '1'}]",[],"Bricks are generally used fordistracting or misdirecting infected and human enemies.They can be thrown on the ground to create noise or break glass windows to open up new routes. This can cause enemies to group up on that area where you can easily sneak by them or kill them all at once using the tools you crafted. However, if you are playing more aggressively, you can alsothrow them directly to the enemy's head and stun themfor a few seconds. Stunning them with a brick will make them vulnerable to your grab and strike attacks.
Keep in mind that they canwork on hidden traps too!You can throw them on the tripwire or the claymore itself to trigger the traps without taking damage.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Molotov,https://game8.co/games/Last-of-Us-2/archives/290789,"[{'Weapon': 'Explodes on impact, and fire lingers in the area.'}, {'Weapon': 'Throwable'}, {'Weapon': '3'}]","[{'Ingredient 1': 'Alcohol', 'Ingredient 2': 'Rag', 'How to Unlock': 'Jackson - Patrol'}]","Molotovs are best used against infected enemies, especially on large groups and the tougher ones likeShamblersandBloaters.Tougher enemies can endure the fireand still have enough health to charge towards you. But even though they can survive, it is still one of the best ways take a huge chunk of health without wasting ammo.
Weaker enemies likeRunnersand humans who aredirectly hit by the Molotov will not be able to movefrom their position until they die. On the other hand, if they caught fire but were not directly hit by the Molotov, they will still be able to move, and will only take a small damage from the fire. The only difference betweenRunnersand humans if they are on fire is that thehumans can put out the fireand prevent taking more damage from it. Be sure to take advantage of this and take them out while they are trying to recover from the fire.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Stun Bomb,https://game8.co/games/Last-of-Us-2/archives/290790,"[{'Weapon': 'Stuns enemies in a small area on impact.'}, {'Weapon': 'Throwable'}, {'Weapon': '3'}]","[{'Ingredient 1': 'Canister', 'Ingredient 2': 'Explosive', 'How to Unlock': 'Seattle Day 1 - Downtown'}]","Stun Bombs are one of the tools that you can make by crafting. You can use Stun Bombs mainly to create an opening for your attack, or when you are about to flee. Keep in mind thatStun Bombs are non-lethal, and can only stun enemies for a few seconds. It is ideal to use the Stun Bomb as a follow up from aBrickor aBottlethrow. This is an effective way to set up and lure the enemies together for a more efficient use of the Stun Bomb, because of its large area of effect.
Also, the Stun Bombs areless effective when used on tougher enemies. Enemies likeShamblersandBloaterstend to recover faster, but can be staggered when they are about to use their special attack. Do not hesitate to stop their attacks by using a stun bomb if you have no other options.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Trap Mine,https://game8.co/games/Last-of-Us-2/archives/290793,"[{'Weapon': 'Deploys in place and detonates on enemy proximity.'}, {'Weapon': 'Throwable'}, {'Weapon': '3'}]","[{'Ingredient 1': 'Canister', 'Ingredient 2': 'Explosive', 'How to Unlock': 'Find a Trap Mine'}]","Trap Mines are stationary bombs that can be only be triggered when someone walks on it. When triggered, it creates amassive explosion that can deal damage to anyone nearby.It is recommended that you use it only on situations where the enemies haven't seen you yet, this way you can avoid taking damage from triggering it too early because of the attacking enemies.
One way of using the Trap Mine is by planting it on a nearby area before moving forward to kill flanking enemies. You can also lure enemes by using aBrickor aBottleto make noise near the Trap Mine, which they will then set off.
Note:You can also be damaged by the Trap Mine if you are within the range of the explosion.
Keep in mind that if a Trap Mine is not triggered, you can always pick it up and use it for later. However, you must approach it carefully, since you can also trigger the Trap Mine if you step on it.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Pipe Bomb,https://game8.co/games/Last-of-Us-2/archives/290810,"[{'Weapon': 'Bounce on impact and explodes after a short delay.'}, {'Weapon': 'Throwable'}, {'Weapon': '4'}]",[],"Pipebombs are unique tools that are only available to Abby. When using a Pipe Bomb, it creates a massive explosion, dealing damage to anyone nearby after a short delay. Crafting a Pipe Bomb requires more materials than the other tools you can make, which makes them a bit more difficult to craft. However, crafting a Pipe Bomb automatically gives you two of them, which makes up for the extra materials it needs.
It is recommended that you craft and use pipe bombs whenever possible, as it is your main tool for clearing multiple enemies (especially since Abby doesn't have access to Molotovs.)
Pipe Bombs can be used in different ways because of their ability to bounce off walls and detonate in areas you wouldn't normally reach, thanks to the slight delay after throwing them. Because of this, you can use Pipe Bombs both offensively and defensively, unlike the other tools that explode immediately on contact.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Machete,https://game8.co/games/Last-of-Us-2/archives/291366,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '3'}]",[],"Pick up the Machete with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Hammer,https://game8.co/games/Last-of-Us-2/archives/291365,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '4'}]",[],"Pick up the Hammer with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Baton,https://game8.co/games/Last-of-Us-2/archives/291394,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '5'}]",[],"Pick up the Baton with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Pipe Wrench,https://game8.co/games/Last-of-Us-2/archives/291405,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '5'}]",[],"Pick up the Pipe Wrench with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
2x4,https://game8.co/games/Last-of-Us-2/archives/291364,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '3'}]",[],"Pick up the 2x4 with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Axe,https://game8.co/games/Last-of-Us-2/archives/291363,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '4'}]",[],"Pick up the Axe with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Pickaxe,https://game8.co/games/Last-of-Us-2/archives/291362,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '3'}]",[],"Pick up the Pickaxe with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Pipe,https://game8.co/games/Last-of-Us-2/archives/291361,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '5'}]",[],"Pick up the Pipe with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Sickle,https://game8.co/games/Last-of-Us-2/archives/291360,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '6'}]",[],"Pick up the Sickle with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Club,https://game8.co/games/Last-of-Us-2/archives/291359,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '4'}]",[],"Pick up the Club with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Shiv,https://game8.co/games/Last-of-Us-2/archives/290809,"[{'Weapon': 'Instantly kills enemies from stealth and saves from clicker grabs.'}, {'Weapon': 'Melee'}, {'Weapon': '4'}]","[{'Ingredient 1': 'Binding', 'Ingredient 2': 'Blade', 'How to Unlock': 'Craft Shivs Upgrade'}]","Unlike Ellie who uses a small knife when performing Stealth Kills, Abby uses her arms and fists when executing a Stealth Kill. This forces her to require a Shiv when killing tougher enemies like the tough Seraphite or Clickers. Also, Silent Shiv Kills are much faster than a regular Stealth Kill, so don't hesitate on using them when there are multiple enemies nearby.
If you happen to have a Shiv when you are grabbed by an enemy, you can use them to deal damage and instantly break free from their attack.","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
Switchblade,https://game8.co/writer_admin/games/1008/archives/291376,Error fetching data: 404 Client Error: Not Found for url: https://game8.co/writer_admin/games/1008/archives/291376,Error fetching data: 404 Client Error: Not Found for url: https://game8.co/writer_admin/games/1008/archives/291376,Error fetching data: 404 Client Error: Not Found for url: https://game8.co/writer_admin/games/1008/archives/291376,Error fetching data: 404 Client Error: Not Found for url: https://game8.co/writer_admin/games/1008/archives/291376
Health Kit,https://game8.co/games/Last-of-Us-2/archives/290788,"[{'Weapon': 'Restores a moderate amount of health. Hold R2 to use.'}, {'Weapon': 'Recovery'}, {'Weapon': '3'}]","[{'Ingredient 1': 'Alcohol', 'Ingredient 2': 'Rag', 'How to Unlock': 'Jackson - Patrol'}]","
You can heal yourself by holding on to the R2 button after selecting the Health Kit using your D-Pad. Healing will let you recover a large portion of your health which can be seen on the lower right side of the screen.
However, using a health kit takes a few seconds, so be sure to wait until you are in a safe area to do it!
How to Heal","List of Weapons
Handguns
Long Guns
Throwable
Melee/Other
Recovery"
