Weapon Name,Weapon URL,Basic Information,Best Upgrades,How to use,How to get,Weapon Category,Weapon Link,Weapon Icon URL,Description,Location
Flamethrower,https://game8.co/games/Last-of-Us-2/archives/290808,"[{'Weapon': 'Close range weapon that incinerates enemies, dealing lethal damage.'}, {'Weapon': 'Long Gun'}, {'Weapon': '100'}]",No upgrades for this weapon,"The Flamethrower is one of the best weapons you can get in the game. This weapon is best used against the infected, since they are more vulnerable to fire. Using it against humans will also work, but it is not quite as effective. Using the Flamethrower against an infected will not only deal massive damage, but it will also set them on fire, which deals damage over time.
Ammo will be hard to find for the Flamethrower. Try to conserve it as much as possible, and only use this weapon against the tougher infected enemies like theRat KingorBloaters.","The Flamethrower is one of the best weapons you can get in the game. This weapon is best used against the infected, since they are more vulnerable to fire. Using it against humans will also work, but it is not quite as effective. Using the Flamethrower against an infected will not only deal massive damage, but it will also set them on fire, which deals damage over time.
Ammo will be hard to find for the Flamethrower. Try to conserve it as much as possible, and only use this weapon against the tougher infected enemies like theRat KingorBloaters.",Long Guns,https://game8.co/games/Last-of-Us-2/archives/290808,https://img.game8.co/3252610/e4c5d664e282005076f81ff57b044f7f.jpeg/show,"Close range weapon that incinerates enemies, dealing lethal damage.",Seattle Day 2 - The Descent (near the dead Fedra agent).
Hammer,https://game8.co/games/Last-of-Us-2/archives/291365,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '4'}]",No upgrades for this weapon,"Pick up the Hammer with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Hammer can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291365,https://img.game8.co/3254423/b66484c0083b7a3fe7b4f1a2809c2b40.jpeg/show,Increases the power of your melee attacks.,Pick-up
Health Kit,https://game8.co/games/Last-of-Us-2/archives/290788,"[{'Weapon': 'Restores a moderate amount of health. Hold R2 to use.'}, {'Weapon': 'Recovery'}, {'Weapon': '3'}]","[{'Ingredient 1': 'Alcohol', 'Ingredient 2': 'Rag', 'How to Unlock': 'Jackson - Patrol'}]","
You can heal yourself by holding on to the R2 button after selecting the Health Kit using your D-Pad. Healing will let you recover a large portion of your health which can be seen on the lower right side of the screen.
However, using a health kit takes a few seconds, so be sure to wait until you are in a safe area to do it!
How to Heal","Health Kits can be crafted at any time after learning the recipe, as long as you have the required ingredients.
The recipe is first unlocked inJackson - Patrol.",Recovery,https://game8.co/games/Last-of-Us-2/archives/290788,https://img.game8.co/3252538/558385c0f0bcb5be7d20bd01389aa3ca.jpeg/show,Restores a moderate amount of health. Hold R2 to use.,Craft.
Hunting Pistol,https://game8.co/games/Last-of-Us-2/archives/290797,"[{'Weapon': 'Long-range handgun with high damage and slow reload speed.'}, {'Weapon': 'Handgun'}, {'Weapon': '1'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the pistol grip to decrease weapon sway.+25% Accuracy+35% Stability'}, {'Name': '4x Scope', 'Parts': '60', 'Effect': 'Add a scope to aim at distant targets with greater accuracy pressing X'}, {'Name': 'Damage', 'Parts': '80', 'Effect': 'Replace the barrel to fire more powerful shots.+25% Damage'}]","Similar to theRevolver, the Hunting Pistol has a slow fire rate, and creates an extremely loud sound when used. However, its powerful damage makes up for these drawbacks. The Hunting Pistol packs a strong punch with every shot, especially in mid to close-range fights.
The Hunting Pistol is best used when taking out solo targets because of its exceptional damage. Because of this, it can take out most enemies with one shot, even without aiming at their weak points.","Similar to theRevolver, the Hunting Pistol has a slow fire rate, and creates an extremely loud sound when used. However, its powerful damage makes up for these drawbacks. The Hunting Pistol packs a strong punch with every shot, especially in mid to close-range fights.
The Hunting Pistol is best used when taking out solo targets because of its exceptional damage. Because of this, it can take out most enemies with one shot, even without aiming at their weak points.",Handguns,https://game8.co/games/Last-of-Us-2/archives/290797,https://img.game8.co/3252556/81bdd2a352fe591a54fcff15f60aa6f2.jpeg/show,Long-range handgun with high damage and slow reload speed.,Seattle Day 1 - On Foot (Safe)
Machete,https://game8.co/games/Last-of-Us-2/archives/291366,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '3'}]",No upgrades for this weapon,"Pick up the Machete with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Machete can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291366,https://img.game8.co/3254422/428b6c4c7a397c2548294e18bd405e30.jpeg/show,Increases the power of your melee attacks.,Pick-up
Military Pistol,https://game8.co/games/Last-of-Us-2/archives/290786,"[{'Weapon': 'Short-range handgun with high fire rate and moderate accuracy.'}, {'Weapon': 'Handgun'}, {'Weapon': '6'}]","[{'Name': 'Fire Rate', 'Parts': '40', 'Effect': 'Replace the hammer spring to increase fire rate.+50% Fire Rate'}, {'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the pistol grip to decrease weapon sway.+35% Stability'}, {'Name': 'Recoil', 'Parts': '30', 'Effect': 'Attach a compensator to reduce weapon recoil.+25% Accuracy-35% Recoil'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Craft an extended magazine to hold more rounds.+4 Magazine Capacity'}]","The military pistol is pretty much the same as thesemi-auto pistol, so its usage is basically the same. Due to its high fire rate, it is great in scenarios where enemies like runners are rushing toward you. It will not deal as much damage as some of the other weapons, so landing headshots is extremely important, as it will take several shots to take down foes with it otherwise.
This pistol is really best made use of at short range, so in smaller spaces when accuracy is less of an issue. One trick for conserving ammo, which will work against most enemies is to shoot them in the leg to stun them, and then run in to follow up with a melee attack than can finish them off. Clickers will be hard to take down with this gun alone, so a shot in the head or legs to stun them is the best tactic to deal with them.
When dealing with several enemies at once, such as runners, make sure to stay moving. Although the weapon is great for close range crowd control due to its quick fire rate, you don't want to get surrounded with no ammo in the clip, so place your shots carefully.","The military pistol is pretty much the same as thesemi-auto pistol, so its usage is basically the same. Due to its high fire rate, it is great in scenarios where enemies like runners are rushing toward you. It will not deal as much damage as some of the other weapons, so landing headshots is extremely important, as it will take several shots to take down foes with it otherwise.
This pistol is really best made use of at short range, so in smaller spaces when accuracy is less of an issue. One trick for conserving ammo, which will work against most enemies is to shoot them in the leg to stun them, and then run in to follow up with a melee attack than can finish them off. Clickers will be hard to take down with this gun alone, so a shot in the head or legs to stun them is the best tactic to deal with them.
When dealing with several enemies at once, such as runners, make sure to stay moving. Although the weapon is great for close range crowd control due to its quick fire rate, you don't want to get surrounded with no ammo in the clip, so place your shots carefully.",Handguns,https://game8.co/games/Last-of-Us-2/archives/290786,https://img.game8.co/3252528/85a7ba460f685c0ad3c28ee399b8628d.jpeg/show,Short-range handgun with high fire rate and moderate accuracy.,Obtain automatically in Seattle Day 1 - The Stadium.
Molotov,https://game8.co/games/Last-of-Us-2/archives/290789,"[{'Weapon': 'Explodes on impact, and fire lingers in the area.'}, {'Weapon': 'Throwable'}, {'Weapon': '3'}]","[{'Ingredient 1': 'Alcohol', 'Ingredient 2': 'Rag', 'How to Unlock': 'Jackson - Patrol'}]","Molotovs are best used against infected enemies, especially on large groups and the tougher ones likeShamblersandBloaters.Tougher enemies can endure the fireand still have enough health to charge towards you. But even though they can survive, it is still one of the best ways take a huge chunk of health without wasting ammo.
Weaker enemies likeRunnersand humans who aredirectly hit by the Molotov will not be able to movefrom their position until they die. On the other hand, if they caught fire but were not directly hit by the Molotov, they will still be able to move, and will only take a small damage from the fire. The only difference betweenRunnersand humans if they are on fire is that thehumans can put out the fireand prevent taking more damage from it. Be sure to take advantage of this and take them out while they are trying to recover from the fire.","Molotovs can be crafted at any time after learning the recipe, as long as you have the required ingredients.",Throwables,https://game8.co/games/Last-of-Us-2/archives/290789,https://img.game8.co/3252182/3f518c57db33254d2fbe1c65e17819bc.jpeg/show,"Explodes on impact, and fire lingers in the area.",Craft.
Pickaxe,https://game8.co/games/Last-of-Us-2/archives/291362,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '3'}]",No upgrades for this weapon,"Pick up the Pickaxe with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Pickaxe can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291362,https://img.game8.co/3254421/c3b9196f48c5ac682794eb5f093ab5b8.jpeg/show,Increases the power of your melee attacks.,Pick-up
Pipe,https://game8.co/games/Last-of-Us-2/archives/291361,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '5'}]",No upgrades for this weapon,"Pick up the Pipe with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Pipe can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291361,https://img.game8.co/3254424/0a7e91ff915013554fbfd803a290238f.jpeg/show,Increases the power of your melee attacks.,Pick-up
Pipe Bomb,https://game8.co/games/Last-of-Us-2/archives/290810,"[{'Weapon': 'Bounce on impact and explodes after a short delay.'}, {'Weapon': 'Throwable'}, {'Weapon': '4'}]",No upgrades for this weapon,"Pipebombs are unique tools that are only available to Abby. When using a Pipe Bomb, it creates a massive explosion, dealing damage to anyone nearby after a short delay. Crafting a Pipe Bomb requires more materials than the other tools you can make, which makes them a bit more difficult to craft. However, crafting a Pipe Bomb automatically gives you two of them, which makes up for the extra materials it needs.
It is recommended that you craft and use pipe bombs whenever possible, as it is your main tool for clearing multiple enemies (especially since Abby doesn't have access to Molotovs.)
Pipe Bombs can be used in different ways because of their ability to bounce off walls and detonate in areas you wouldn't normally reach, thanks to the slight delay after throwing them. Because of this, you can use Pipe Bombs both offensively and defensively, unlike the other tools that explode immediately on contact.","Pipe Bombs can be crafted at any time after learning the recipe, as long as you have the required ingredients.",Throwables,https://game8.co/games/Last-of-Us-2/archives/290810,https://img.game8.co/3252563/8bfb4eb39ed961e700753af43678b98f.jpeg/show,Bounce on impact and explodes after a short delay.,Craft.
Pipe Wrench,https://game8.co/games/Last-of-Us-2/archives/291405,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '5'}]",No upgrades for this weapon,"Pick up the Pipe Wrench with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Pipe Wrench can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291405,https://img.game8.co/3254744/56807d19752d6190983120548db29ba0.png/show,Increases the power of your melee attacks.,Pick-up
Pump Shotgun,https://game8.co/games/Last-of-Us-2/archives/290740,"[{'Weapon': 'Close-range shotgun with high damage and slow reload speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '4'}]","[{'Name': 'Fire Rate', 'Parts': '40', 'Effect': 'Replace the springs and extractor to increase fire rate.+55% Fire Rate'}, {'Name': 'Stability', 'Parts': '40', 'Effect': 'Replace the grip to reduce coil and decrease weapon sway.-40% Recoil+35% Stability'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Extend the magazine tube to increase shell capacity.+2 Magazine Capacity'}]","As mentioned above, the pump shotgun is a high powered close range gun. It sacrifices accuracy for the ability to spread over a wide range, which means it can hit multiple enemies that are up close and bunched up together.
This weapon is good against pretty much any enemy at close range. Runners are guaranteed to fall, and it is super effective against human enemies too. Clickers have larger health pools, so they may not die when hit, but they will almost always be stunned, allowing you to run in and hit them with a melee attack.","As mentioned above, the pump shotgun is a high powered close range gun. It sacrifices accuracy for the ability to spread over a wide range, which means it can hit multiple enemies that are up close and bunched up together.
This weapon is good against pretty much any enemy at close range. Runners are guaranteed to fall, and it is super effective against human enemies too. Clickers have larger health pools, so they may not die when hit, but they will almost always be stunned, allowing you to run in and hit them with a melee attack.",Long Guns,https://game8.co/games/Last-of-Us-2/archives/290740,https://img.game8.co/3252284/309c19dedc3dbf8c46d0e35f6fcfdd93.jpeg/show,Close-range shotgun with high damage and slow reload speed.,Obtain from the Bank Vault in Seattle Day 1 - Downtown.
Revolver,https://game8.co/games/Last-of-Us-2/archives/290733,"[{'Weapon': 'Mid-range revolver with moderate damage and slow reload speed.'}, {'Weapon': 'Handgun'}, {'Weapon': '3'}]","[{'Name': 'Fire Rate', 'Parts': '30', 'Effect': 'Replace the hammer spring to increase firing rate.+35% Fire Rate'}, {'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the revolver grip to reduce recoil and decrease weapon sway.-25% Recoil+35% Stability'}, {'Name': 'Reload Speed', 'Parts': '50', 'Effect': 'Use a speed loader to load rounds all at once instead of individually.+85% Reload Speed'}, {'Name': 'Damage', 'Parts': '70', 'Effect': 'Replace the barrel to fire more powerful shots.+40% Damage+25% Accuracy'}]","While headshots are important for any gun you use, this is especially true for the revolver, due to its low fire rate. However, this gun does pack a punch, and after upgrading the damage output, it can usually one-shot runners and hunters, even if you do not shoot them in the head.
Generally, it is good for smaller crowds, and since it is more accurate than the pistol, it is better at a medium range. It is very effective on human foes, since they are less likely to rush at you, and as mentioned above, they can be one-shotted even without head shots. For battling hordes of charging runners, the pistol will usually be a safer option due to its quicker fire rate.","While headshots are important for any gun you use, this is especially true for the revolver, due to its low fire rate. However, this gun does pack a punch, and after upgrading the damage output, it can usually one-shot runners and hunters, even if you do not shoot them in the head.
Generally, it is good for smaller crowds, and since it is more accurate than the pistol, it is better at a medium range. It is very effective on human foes, since they are less likely to rush at you, and as mentioned above, they can be one-shotted even without head shots. For battling hordes of charging runners, the pistol will usually be a safer option due to its quicker fire rate.",Handguns,https://game8.co/games/Last-of-Us-2/archives/290733,https://img.game8.co/3252178/aa7459e5b5f413b88ee0ba2ce8b421fb.jpeg/show,Mid-range revolver with moderate damage and slow reload speed.,Get from the box upstairs in Jackson - Packing Up.
