Tip Name,Detailed Tip Text,Tip Image
How to Ride the Boat,"How to Ride the Boat': , 'Boat Controls': ': 'You can ride the boat by pressing △ (default) at the motor, which can be found at the rear of the boat. It will prompt a mini-game like sequence, similar to thegenerator, where you will have to perfectly time your button press until it fills up the bar.Once you are riding the boat, it can be steered using the left analog stick, and moved in reverse by pressing the L2 trigger. Keep in mind that the motor of the boat isextremely loud and can attract the attention of the nearby enemies.', 'Ramps and Barbed Wires': ': ""When using the speedboat you can go over barbed wires and ramps to explore areas that you wouldn't normally be able to while swimming. Also, ramps work a bit differently from the barbed wires.Once you go over a ramp, you will not be able to come back. Be sure to explore the area thoroughly before going over a ramp!"", 'Locating the Boat': ': 'If you leave the boat behind to explore other areas, you can useListen Modeto pinpoint its exact location, making it easier to backtrack and return into progressing the story.', '",../Data/Images/tips_images/How to Ride the Boat.jpg
What are Scavenged Parts?,"What are Scavenged Parts?': ': ""Scavenged Parts are scattered throughout the game. These items are needed to use for customizing or upgrading your weapons at the Workbench.If you already played The Last of Us 1, you already know the basics of Upgrading weapons and the Parts that are needed to upgrade your weapons. Upgraded weapons mean easier combat, so naturally you'll want to snag every one of these you come across."", 'Customizing Weapons with Scavenged Parts': , 'Upgrading with the Workbench': ': 'The only way to customize your weapon is by going to aWorkbench. You may encounter these Workbenches throughout the game, or if you are in a safe zone.For more information on Customizing your Weapons, see the link below:How to Customize Weapons', 'How to Get Scavenged Parts': ': 'Scavenged Parts can be found anywhere in the game. Be sure to explore and check every corner of all the areas if possible. They are most commonly seen on top of shelves or on table with nearby tools.If you turn onHigh Contrast Modefrom the accesibility settings (or by swiping left on the touchpad), you will be able to easily spot anything in the area that can be interacted with, allowing you to easily find and pick up any parts that are lying around.', 'Enhanced Listen Mode': ': 'If you are having a hard time locating the scavenged parts in the area, you can turn onEnhanced Listen Modein the Options menu. This will allow you to scan and pinpoint the exact location of nearby items and even enemies.', '",../Data/Images/tips_images/What are Scavenged Parts.jpg
What are Ingredients?,"What are Ingredients?': ': ""Ingredients are items that are scattered throughout the game. These ingredients are mainly used forCraftingdifferent tools that can help you in combat.If you already played The Last of Us 1, you already know the basics of Crafting and the importance of ingredients. Being able to craft things like bombs, health kits, and ammunition is extremely useful, so you'll want to try and pick them up as you find them!"", 'How to Use Ingredients': , 'List of Ingredients': ': 'The following items are the different ingredients that you can pick up throughout the game:', ], 'Crafting Items': ': 'You can use these Ingredients through Crafting. You access the Crafting menu by pressing on the Touchpad, which will display a list of the different recipes that you can Craft with the ingredients you have.Recipe List', ], 'How to Get Ingredients': ': 'Ingredients can be found anywhere in the game. Be sure to explore and check every corner of all the areas if possible, especially on places where there are drawers or cabinets that you can open.If you turn onHigh Contrast Modefrom the accesibility settings (or by swiping left on the touchpad), you will be able to easily spot anything in the area that can be interacted with, allowing you to easily find and pick up any ingredients that are lying around.', 'Enhanced Listen Mode': ': 'If you are having a hard time locating the ingredients in the area, you can turn onEnhanced Listen Modein the Options menu. This will allow you to scan and pinpoint the exact location of nearby items and even enemies.', 'Related Links': ': 'Tips & Tricks', ]",../Data/Images/tips_images/What are Ingredients.jpg
What Are Training Manuals?,"What Are Training Manuals?': ': ""Training Manuals are an item that, when found, can be used to unlock new Player Upgrade branches, giving Ellie more skills to use in combat. They look like regular magazine, text books, or other types of books. As you encounter more and more enemies, mastery of these upgrades will help you a lot, so it is important that you don't leave any behind! | All Player UpgradesFinding all training manuals will also allow you to get the following trophy:Trophy Guide | List of Trophies"", ], 'About Training Manual Locations': ': ""There are several locations that you can pick up training manuals. Even if you miss one of the locations listed below for the manual on this page, you can still find the manual in a different location, so there is no need to restart your save. For example, if you miss the first magazine in the overturned truck, you can find the Crafting Training Manual at the Court House on the 2nd floor.Therefore,this guide will show the first obtainable location for each manual. If you miss a location, it will show up in a different spot on its own, so you don't need to worry much about trying to find them."", 'Crafting Training Manual': ': 'Crafting Skill Branch', ], 'Crafting': ': '', ], 'Stealth Training Manual': ': 'Stealth Skill Branch', ], 'Stealth': ': '', ], 'Precision Training Manual': ': 'Precision Skill Branch', ], 'Precision': ': '', ], 'Explosive Training Manual': ': 'Explosive Skill Branch', ], 'Explosives': ': '', ], 'Covert Ops Training Manual': ': 'Covert Ops Skill Branch', ], 'Covert Ops': ': '', ], 'Close Quarters Training Manual': ': 'Close Quarters Skill Branch', ], 'Close Quarters': ': '', ], 'Firearms Training Manual': ': 'Explosive Skill Branch', ], 'Firearms': ': '', ], 'Ordnance Traning Manual': ': 'Ordnance Skill Branch', ], 'Ordnance': ': '', ], 'Last of Us 2 Collectibles': ': 'List of Collectibles and Locations', ]",../Data/Images/tips_images/What Are Training Manuals.jpg
What are Recipes?,"What are Recipes?': ': ""Recipes are essentially which ingredients you need in order to craft a certain type of item. Recipes can be used to craft a wide array of items, like Health Kits, Molotovs, and even Arrows.In order to use a recipe, you'll need the ingredients that are required to make the item. These ingredients are found scattered throughout the areas you explore, and can even be picked up off of fallen enemies.What are Ingredients?"", 'How to Craft': ': 'Recipes can be accessed by pressing theTouchpadand opening up the crafting menu. Here you can see a list of all the tools and weapons that you can craft with the ingredients you have with you.', 'Unlocking Recipes': ': 'To unlock a recipe, you must first pick up the tool or weapon for the first time to learn its components. Once you have them in your inventory, you will be able to craft them as long as you have the correct materials. For the most part, you will learn these automatically as you progress, although a few are unlocked via other methods (such asPlayer Upgrades, etc.)Unlocking all recipes and crafting all items is required to get the following trophy.Trophy Guide | List of Trophies', ], 'Managing Your Resources': ': ""Whenever you reach the maximum capacity of a material, you won't be able to pick them up when you find more on the ground. Be sure to check if you can craft any tool or weapon from the crafting menu that uses said ingredient, use it, and pick up the one you found. This is a simple trick to manage your resources and maximize the tools you get to survive."", 'List of Recipes': ': 'The following items are the different recipes that you can craft with the materials that you find throughout the game.', ], '",../Data/Images/tips_images/What are Recipes.jpg
What is a Workbench?,"What is a Workbench?': ': 'Workbenches are areas where you can upgrade your weapons using theScavenged Partsyou manage to pick up throughout the game. Workbenches can be found in multiple areas in different chapters.What are Scavenged Parts?Multiple trophies can also be obtained by finding each workbench.Trophy Guide | List of Trophies', ], 'List of Workbench Locations': , 'Jackson Workbenches': ], 'Seattle Day 1 (Ellie) Workbenches': ], 'Seattle Day 2 (Ellie) Workbenches': ], 'Seattle Day 3 (Ellie) Workbenches': ], 'Seattle Day 1 (Abby) Workbenches': ], 'Seattle Day 2 (Abby) Workbenches': ], 'Seattle Day 3 (Abby) Workbenches': ], 'Santa Barbara Workbenches': ], 'Related Links': ': 'Tips & Tricks', ]",../Data/Images/tips_images/What is a Workbench.jpg
How to Get Infinite Ammo,"How to Get Infinite Ammo': ': 'Unfortunately, similar to the previous game,Naughty Dogdecided not to include an Infinite Ammo feature in the game even if you have already unlocked New Game+ or unlocked all of the Trophies.There is no legitimate way to get the an Infinite Ammo feature unlocked for your weapons without messing with the game files or using a third-party software. However, we have listed a few tips that you can follow below to manage your ammo consumption efficiently.', 'Custom Difficulty Settings': ': 'Custom Difficulty settings allow you to pick and choose which parts of the game will be hard or easy. If you want to have an easier time coming across more ammo and resources, go into game difficulty, and changeResourcestoVery Light. Even if you still want the enemies and game to be challenging, simply changing this one feature will make it easier to pick up ammo.Difficulty Settings and Best Difficulty', 'Execute Stealth Kills': ': 'If you are still hidden during combat, it is suggested that you execute stealth kills as much as possible instead of wasting your ammo for kills. Only use your ammo when trying to execute enemies that you cannot reach or when they have already found your position.If you have an ally with you, they will often also execute a stealth kill when you do, allowing you to conserve even more ammo by making use of your partner., 'Sweeping the Area': ': 'Be sure to explore every corner of the area before moving on in the campaign. This will not only allow you to get more ammo and ingredients, but also collect all hidden items in the area.', 'Using Enhanced Listen Mode': ': 'Pressing the Circle button while using Enhanced Listen Mode will allow you to pinpoint the exact location of any nearby items like ingredients and ammo.Using Enhanced Listen Mode', 'Reduced Weapon Sway': ': 'Turning this feature on will cause your weapon to sway less when aiming, allowing you to land your shots more accurately and be more efficient with your ammo consumption.Game Controls & Settings', 'Enabling Auto Pick-Up': ': 'You can also enable this in the Accessibility Menu inside Alternate Controls. This will allow you to automatically pick up any nearby items such as ingredients and ammo when you approach them.Accessibility Presets', 'Last of Us 2 Related Links': ': 'Tips & Tricks', ]",../Data/Images/tips_images/How to Get Infinite Ammo.jpg
How to Find the Downtown Seattle Map,"How to Find the Downtown Seattle Map': ': 'Upon starting Chapter 2 Seattle, you will find yourself on a horse with Dina exploring the jungle, looking for the road that leads to Seattle. Continue following the path until you reach the WLF Gate. From here you will have to go over the gate on your own.Once you are on the other side of the gate, you will see a large container office near the generator on your left. You can find the Downtown Seattle Map in the corner drawer at the rightmost table.', 'Bypassing Locked Doors': ': 'You can easily bypass some of the lock doors that you will find throughout the game by breaking the nearby window using the butt of your knife. This way you can easily squeeze your way in and unlock the door from the other side.', '",../Data/Images/tips_images/How to Find the Downtown Seattle Map.jpg
How to Get the Sharpshooter Trophy,"How to Get the Sharpshooter Trophy': ': ""In order to get theSharpshooterTrophy, you must get a higher score than Manny at the gun range during theSeattle Day 1 - Stadium. You will have 9 shots available during this mini-game, and each shot will give you points depending on how close to the center your shot is.On average,Manny will score somewhere around 83 pointswith his 9 shots, so you'll need to aim a little higher than that in order to get this trophy.Trophy Guide | List of Trophies"", ], 'How to Win the Marksmanship Competition': , 'Taking Your Time with Your Shots': ': 'This mini-game is all about accuracy, not speed. Take your time firing your shots to accurately hit the target with all 9 shots.', 'Using Auto-Target': ': 'You can turn on the Auto-Target in the Options Menu to automatically move your crosshair closer to the target.', 'Chest Shots': ': 'Try to aim for chest during this mini-game. They will both give you 10 points for each hit, even though the red mark on the chest is slightly bigger than the red mark on the head.', '",../Data/Images/tips_images/How to Get the Sharpshooter Trophy.jpg
How to Put a Hat on your Companion,"How to Put a Hat on your Companion': , 'Looks Good On You Trophy Guide': ': 'TheLooks Good On YouTrophy can only be unlocked during theSeattle Day 1 - The Birthday Gift, where you will have to travel withJoelthrough the woods for the dinosaur museum.Once you have entered the museum, pick up the hat which can be found on the right side of the lobby and walk with Joel until you reach the next room. Here you must next put the hat on two different dinosaurs, regardless of which, as long as they are on the first floor of the museum. Doing this will trigger the voice line of Joel where he asksIs this going to be a thing?.After that voice line, you can approach Joel and interact with him to make him wear the hat. This will automatically unlock theLooks Good On YouTrophy.', ], 'Available Dinosaurs': ], '",../Data/Images/tips_images/How to Put a Hat on your Companion.jpg
Engraved Ring Basic Information,"Engraved Ring Basic Information': ': 'The Antique Ring (AKA Engraved Ring) is a collectible in The Last of Us 2. Although hard to read, it has text on it that spells out “Sic Parvis Magna”, which is an Easter Egg referring to the Uncharted series (it is the ring worn by Drake around his neck).Finding it will unlock the “So Great and Small” Trophy.List of Trophies', , ], 'How to Find the Engraved Ring': ': 'The Engraved Ring can be found in the back right corner of the bank vault in a safe deposit box.The bank can be found inChapter 2: Seattle Day 1 - Downtown. For more information about where to find the bank and how to open the vault, just follow this guide below.How to Get the Bank Vault Code', 'Bank Vault Code': ': 'Click to see the Vault Code', ], 'Last of Us 2 Tips & Tricks': ': 'Tips & Tricks', ]",../Data/Images/tips_images/Engraved Ring Basic Information.jpg
Strange Artifact Basic Information,"Strange Artifact Basic Information': ': ""The Strange Relic (AKA Strange Artifact) is a collectible in The Last of Us 2. This artifact is an Easter Egg referring to the Precursor Orbs in Naughty Dog's Jax and Daxter series.Finding this artifact will unlock the “Relic of the Sages” Trophy.List of Trophies"", , ], 'How to Find the Strange Artifact': ': 'InSeattle Day 1 - Hostile Territory, the Strange Artifact can be found on a small table on the second floor of the King Street Relics Building.To reach the second floor of the Kings Street Relics Building, you need to enter the Ruby Dragon store and climb up the stairs, then crawl under some tables to an area with 2 Clickers. After that, you just need to jump the gap from the balcony area to reach the second floor of the King Street Reclis Building.Once you reach the room with a hole in the floor,do not go down the hole, and turn right immediately to find the Strange Artifact on a small table.', 'Last of Us 2 Tips & Tricks': ': 'Tips & Tricks', ]",../Data/Images/tips_images/Strange Artifact Basic Information.jpg
Last of Us 2 Hidden Trophies,"Last of Us 2 Hidden Trophies': ': 'Hidden Trophies are the secret trophies that have their titles and requirements hidden on the Trophy List to protect the game from being spoiled. These hidden trophies are usually story related, and they will remain hidden unless you reach a certain point in the game.Trophy Guide | List of Trophies', 'How to View Hidden Trophies': ': ""Despite the fact that these trophies are hidden by default, it is totally possible to view them all before even unlocking them. To do so, first open up the trophy list for The Last of Us Part II.Once open, scroll down in the list until you come across the hidden trophies. At that point, all you need to do it is press the □ button, which will give you an option to 'Show Hidden Information. Doing so will show you both the trophy names and unlock conditions."", 'How to Unlock the Hidden Trophies': , 'Looks Good On You': ': 'To obtain this Trophy, you must put a hat onJoelduring the Chapter:Seattle Day 1 - The Birthday Giftwhile you are exploring the dinosaur museum.Looks Good on You Trophy Guide', 'Sharpshooter': ': 'This Trophy can be obtained in the gun range with Abby during theSeattle Day 1 - Stadium, where you will compete against Manny to see who is the better marksman.Sharpshooter Trophy Guide', 'Put My Name Up': ': ""You can get this Trophy by beating Owen and Mel's score in the Archery mini-game during theSeattle Day 1 - Winter Visit. You must knock down 11 or more targets that are scattered throughout the aquarium before the time runs out.Put My Name Up Trophy Guide"", '",../Data/Images/tips_images/Last of Us 2 Hidden Trophies.jpg
